Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID308217,308217,0,10.515,267.025,125.312,0,23,23,5,1,-10921639,34.598,4,1,255,3356,73.258,2.000,0.904,0.448
ID308218,308218,1,20.511,418.693,228.838,0,23,23,5,1,-10921639,118.340,59,10,255,11479,106.640,8.959,0.852,1.021
ID308219,308219,2,20.848,296.431,265.483,0,23,23,5,1,-10921639,103.814,46,12,255,10070,95.438,5.221,0.849,0.999
ID308220,308220,0,10.534,267.023,125.310,0,24,24,5,1,-10921639,34.732,4,1,255,3369,73.197,2.000,0.905,0.451
ID308221,308221,1,20.461,423.774,236.092,0,24,24,5,1,-10921639,118.938,66,9,255,11537,105.512,8.928,0.851,1.037
ID308222,308222,2,21.528,300.130,264.675,0,24,24,5,1,-10921639,105.814,53,13,255,10264,97.282,5.150,0.851,1.000
ID308224,308224,1,20.213,428.468,243.728,0,25,25,5,1,-10921639,120.990,63,8,255,11736,107.188,8.910,0.842,1.032
ID308225,308225,2,21.737,304.008,263.725,0,25,25,5,1,-10921639,106.588,53,11,255,10339,98.458,5.166,0.854,0.997
ID308223,308223,0,10.525,267.026,125.315,0,25,25,5,1,-10921639,34.629,4,1,255,3359,73.214,2.000,0.911,0.451
ID308228,308228,2,21.508,308.009,262.599,0,26,26,5,1,-10921639,106.845,48,11,255,10364,97.519,5.193,0.849,1.006
ID308226,308226,0,10.491,267.023,125.312,0,26,26,5,1,-10921639,34.454,4,1,255,3342,73.190,2.000,0.906,0.448
ID308227,308227,1,20.408,432.771,252.008,0,26,26,5,1,-10921639,122.361,64,10,255,11869,107.922,8.830,0.832,1.030
ID308229,308229,0,10.519,267.014,125.306,0,27,27,5,1,-10921639,34.515,3,1,255,3348,73.256,2.000,0.910,0.449
ID308230,308230,1,20.161,436.442,260.420,0,27,27,5,1,-10921639,119.124,62,8,255,11555,106.791,8.772,0.826,1.009
ID308231,308231,2,21.866,312.175,261.258,0,27,27,5,1,-10921639,109.588,55,12,255,10630,98.428,5.200,0.850,1.023
ID308232,308232,0,10.536,267.042,125.291,0,28,28,5,1,-10921639,34.474,4,1,255,3344,73.401,2.000,0.918,0.449
ID308233,308233,2,21.967,316.499,259.857,0,28,28,5,1,-10921639,111.773,64,13,255,10842,99.677,5.143,0.852,1.032
ID308234,308234,1,19.988,439.474,269.206,0,28,28,5,1,-10921639,121.639,59,7,255,11799,107.685,8.814,0.831,1.025
ID308236,308236,2,22.349,321.029,258.135,0,29,29,5,1,-10921639,113.948,68,14,255,11053,98.149,5.155,0.857,1.071
ID308237,308237,1,20.152,441.782,278.438,0,29,29,5,1,-10921639,121.753,74,9,255,11810,106.905,8.812,0.820,1.026
ID308235,308235,0,10.560,267.056,125.303,0,29,29,5,1,-10921639,34.629,3,1,255,3359,73.648,2.000,0.908,0.447
ID308240,308240,1,20.005,443.132,287.916,0,30,30,5,1,-10921639,121.144,78,9,255,11751,105.129,8.871,0.821,1.039
ID308238,308238,0,10.563,267.069,125.318,0,30,30,5,1,-10921639,34.670,4,1,255,3363,73.680,2.000,0.911,0.449
ID308239,308239,2,22.422,325.647,256.229,0,30,30,5,1,-10921639,117.278,69,14,255,11376,99.071,5.156,0.857,1.093
ID308241,308241,0,10.684,267.113,125.328,0,31,31,5,1,-10921639,35.175,4,1,255,3412,74.422,2.000,0.908,0.450
ID308242,308242,2,22.378,330.508,253.990,0,31,31,5,1,-10921639,118.485,72,12,255,11493,100.001,5.160,0.856,1.093
ID308243,308243,1,20.723,443.388,297.027,0,31,31,5,1,-10921639,124.392,68,9,255,12066,108.732,8.856,0.830,1.038
ID308244,308244,0,10.625,267.176,125.381,0,32,32,5,1,-10921639,35.052,3,1,255,3400,73.964,2.000,0.911,0.452
ID308245,308245,2,22.082,335.622,251.373,0,32,32,5,1,-10921639,117.557,65,13,255,11403,101.154,5.134,0.852,1.070
ID308246,308246,1,20.280,442.269,306.629,0,32,32,5,1,-10921639,121.928,65,8,255,11827,107.893,8.828,0.824,1.021
ID308248,308248,2,22.061,340.910,248.423,0,33,33,5,1,-10921639,120.031,66,12,255,11643,102.036,8.766,0.857,1.086
ID308249,308249,1,20.132,439.758,315.567,0,33,33,5,1,-10921639,118.639,57,6,255,11508,108.618,8.865,0.844,1.000
ID308247,308247,0,10.626,267.254,125.439,0,33,33,5,1,-10921639,35.237,4,1,255,3418,74.166,2.000,0.913,0.454
ID308252,308252,1,19.943,435.698,323.746,0,34,34,5,1,-10921639,117.948,54,6,255,11441,109.335,8.947,0.852,0.993
ID308250,308250,0,10.748,267.365,125.454,0,34,34,5,1,-10921639,35.722,3,1,255,3465,75.372,2.000,0.923,0.455
ID308251,308251,2,22.226,346.419,245.062,0,34,34,5,1,-10921639,121.825,67,13,255,11817,102.171,8.677,0.857,1.100
ID308253,308253,0,10.910,267.490,125.471,0,35,35,5,1,-10921639,36.629,4,1,255,3553,77.345,2.000,0.918,0.453
ID308254,308254,2,22.187,351.837,241.378,0,35,35,5,1,-10921639,121.680,70,13,255,11803,102.445,8.752,0.858,1.097
ID308255,308255,1,20.031,429.786,331.182,0,35,35,5,1,-10921639,115.680,63,7,255,11221,109.389,9.045,0.865,0.981
ID308256,308256,0,11.156,267.604,125.504,0,36,36,5,1,-10921639,37.227,4,1,255,3611,78.933,2.000,0.924,0.453
ID308257,308257,2,21.958,357.040,237.566,0,36,36,5,1,-10921639,119.082,65,11,255,11551,100.091,8.777,0.859,1.100
ID308258,308258,1,20.157,422.399,336.974,0,36,36,5,1,-10921639,118.402,59,7,255,11485,108.533,8.867,0.838,0.995
ID308260,308260,2,22.053,361.906,233.645,0,37,37,5,1,-10921639,116.639,70,11,255,11314,100.121,5.171,0.860,1.077
ID308261,308261,1,20.127,413.948,341.017,0,37,37,5,1,-10921639,122.423,69,8,255,11875,109.326,8.843,0.824,1.012
ID308259,308259,0,10.956,267.742,125.516,0,37,37,5,1,-10921639,36.351,4,1,255,3526,76.605,2.000,0.922,0.455
ID308265,308265,0,10.711,267.866,125.527,0,38,38,5,1,-10921639,35.299,3,1,255,3424,75.032,2.000,0.920,0.451
ID308266,308266,2,22.241,366.221,229.889,0,38,38,5,1,-10921639,114.670,64,14,255,11123,101.045,5.115,0.861,1.050
ID308267,308267,1,19.592,404.508,343.441,0,38,38,5,1,-10921639,118.711,67,6,255,11515,107.483,8.852,0.794,0.977
ID308264,308264,1,19.791,394.601,344.312,0,39,39,5,1,-10921639,120.907,62,6,255,11728,108.598,8.869,0.794,0.985
ID308262,308262,0,10.652,267.896,125.552,0,39,39,5,1,-10921639,35.206,4,1,255,3415,74.409,2.000,0.913,0.452
ID308263,308263,2,22.169,370.032,226.202,0,39,39,5,1,-10921639,111.505,55,15,255,10816,100.898,5.114,0.859,1.022
ID308268,308268,0,10.767,267.865,125.585,0,40,40,5,1,-10921639,35.423,3,1,255,3436,74.741,2.000,0.922,0.455
ID308269,308269,2,22.079,373.171,222.909,0,40,40,5,1,-10921639,107.825,49,14,255,10459,99.514,5.088,0.861,1.003
ID308270,308270,1,19.466,384.332,343.731,0,40,40,5,1,-10921639,117.979,61,7,255,11444,108.030,8.848,0.790,0.964
ID308272,308272,2,21.557,375.752,220.011,0,41,41,5,1,-10921639,103.670,43,13,255,10056,97.154,5.113,0.854,0.983
ID308273,308273,1,19.710,374.777,342.231,0,41,41,5,1,-10921639,121.979,65,7,255,11832,109.495,8.845,0.801,0.991
ID308271,308271,0,10.964,267.795,125.681,0,41,41,5,1,-10921639,35.979,4,1,255,3490,75.778,2.000,0.920,0.455
ID308277,308277,0,10.826,267.842,125.634,0,42,42,5,1,-10921639,35.701,4,1,255,3463,74.992,2.000,0.913,0.454
ID308278,308278,2,21.014,378.013,217.434,0,42,42,5,1,-10921639,100.402,49,12,255,9739,95.815,5.130,0.852,0.964
ID308279,308279,1,19.791,365.347,339.921,0,42,42,5,1,-10921639,120.856,63,6,255,11723,108.367,8.793,0.802,0.993
ID308276,308276,1,19.846,355.628,336.837,0,43,43,5,1,-10921639,122.186,66,9,255,11852,107.797,8.807,0.794,1.003
ID308274,308274,0,10.696,267.865,125.563,0,43,43,5,1,-10921639,35.206,3,1,255,3415,74.687,2.000,0.919,0.452
ID308275,308275,2,20.858,379.873,215.105,0,43,43,5,1,-10921639,97.629,47,13,255,9470,94.458,5.057,0.848,0.949
ID308280,308280,0,11.014,267.731,125.527,0,44,44,5,1,-10921639,36.423,4,1,255,3533,77.168,2.000,0.922,0.453
ID308281,308281,2,20.239,381.246,213.136,0,44,44,5,1,-10921639,94.103,43,11,255,9128,92.653,5.062,0.842,0.929
ID308282,308282,1,19.639,346.443,333.246,0,44,44,5,1,-10921639,122.598,68,9,255,11892,108.415,8.812,0.779,0.990
ID308284,308284,2,19.929,382.265,211.495,0,45,45,5,1,-10921639,92.763,44,9,255,8998,93.783,5.081,0.840,0.903
ID308285,308285,1,19.731,337.568,329.239,0,45,45,5,1,-10921639,120.959,72,8,255,11733,107.512,8.883,0.805,1.003
ID308283,308283,0,11.026,267.505,125.512,0,45,45,5,1,-10921639,37.052,4,1,255,3594,78.604,2.000,0.920,0.452
ID308288,308288,1,20.041,328.974,324.891,0,46,46,5,1,-10921639,121.072,66,6,255,11744,108.173,8.878,0.822,1.010
ID308286,308286,0,10.629,267.269,125.401,0,46,46,5,1,-10921639,35.196,4,1,255,3414,74.214,2.000,0.913,0.453
ID308287,308287,2,19.881,382.971,210.150,0,46,46,5,1,-10921639,90.216,41,10,255,8751,92.843,4.999,0.839,0.886
ID308289,308289,0,10.672,267.108,125.266,0,47,47,5,1,-10921639,34.918,4,1,255,3387,74.843,2.533,0.911,0.445
ID308290,308290,2,19.324,383.491,209.202,0,47,47,5,1,-10921639,89.258,38,10,255,8658,91.407,5.025,0.836,0.889
ID308291,308291,1,20.181,320.437,320.143,0,47,47,5,1,-10921639,119.722,56,8,255,11613,108.695,8.861,0.825,0.996
ID308292,308292,0,10.526,267.029,125.186,0,48,48,5,1,-10921639,34.165,4,1,255,3314,73.941,2.532,0.915,0.442
ID308293,308293,2,19.050,383.750,208.598,0,48,48,5,1,-10921639,87.423,40,10,255,8480,89.722,5.029,0.832,0.885
ID308294,308294,1,20.273,312.358,315.273,0,48,48,5,1,-10921639,119.474,60,8,255,11589,108.020,8.890,0.829,1.002
ID308296,308296,2,19.213,383.783,208.350,0,49,49,5,1,-10921639,87.773,41,9,255,8514,90.812,4.994,0.830,0.877
ID308297,308297,1,20.174,304.591,310.241,0,49,49,5,1,-10921639,119.763,64,8,255,11617,107.826,8.947,0.844,1.017
ID308295,308295,0,10.466,266.934,125.175,0,49,49,5,1,-10921639,34.103,4,1,255,3308,73.149,2.000,0.910,0.444
ID308300,308300,1,20.487,297.006,304.920,0,50,50,5,1,-10921639,119.289,63,7,255,11571,106.689,8.945,0.848,1.026
ID308298,308298,0,10.498,266.891,125.150,0,50,50,5,1,-10921639,34.155,4,1,255,3313,73.281,2.000,0.909,0.444
ID308299,308299,2,18.924,383.646,208.497,0,50,50,5,1,-10921639,87.557,41,7,255,8493,90.123,5.011,0.828,0.880
ID308301,308301,0,10.537,266.903,125.128,0,51,51,5,1,-10921639,34.258,4,1,255,3323,73.691,2.506,0.909,0.443
ID308302,308302,2,19.658,383.215,209.000,0,51,51,5,1,-10921639,89.392,41,10,255,8671,91.852,4.998,0.835,0.886
ID308303,308303,1,20.460,289.899,299.582,0,51,51,5,1,-10921639,119.031,62,7,255,11546,107.109,8.952,0.845,1.018
ID308304,308304,0,10.500,267.004,125.070,0,52,52,5,1,-10921639,33.918,4,1,255,3290,73.571,2.533,0.919,0.442
ID308305,308305,2,19.541,382.775,209.790,0,52,52,5,1,-10921639,89.124,38,12,255,8645,91.341,5.007,0.834,0.887
ID308306,308306,1,20.701,282.864,293.995,0,52,52,5,1,-10921639,119.670,63,9,255,11608,106.214,8.991,0.863,1.044
ID308308,308308,2,19.991,382.024,210.862,0,53,53,5,1,-10921639,91.227,41,12,255,8849,92.820,5.019,0.838,0.896
ID308309,308309,1,20.694,276.211,288.399,0,53,53,5,1,-10921639,118.021,53,9,255,11448,107.448,8.954,0.863,1.018
ID308307,308307,0,10.415,267.066,125.039,0,53,53,5,1,-10921639,33.825,4,1,255,3281,73.423,2.532,0.906,0.438
ID308312,308312,1,20.792,269.936,282.857,0,54,54,5,1,-10921639,118.299,52,9,255,11475,106.369,8.980,0.875,1.038
ID308310,308310,0,10.437,267.058,125.067,0,54,54,5,1,-10921639,33.784,3,1,255,3277,73.465,2.532,0.911,0.438
ID308311,308311,2,20.158,380.951,212.210,0,54,54,5,1,-10921639,92.598,40,12,255,8982,93.212,5.023,0.837,0.905
ID308313,308313,0,10.491,266.971,125.141,0,55,55,5,1,-10921639,33.979,3,1,255,3296,73.823,2.532,0.912,0.439
